date,hour,value,RIC
2023-12-27,21,103.02,HEEGRAUCH
2023-12-27,20,112.37,HEEGRAUCH
2023-12-27,19,119.07,HEEGRAUCH
2023-12-27,18,113.33,HEEGRAUCH
2023-12-27,17,112.71,HEEGRAUCH
2023-12-27,16,107.87,HEEGRAUCH
2023-12-27,15,109.55,HEEGRAUCH
2023-12-27,14,55.71,HEEGRAUCH
2023-12-27,13,40,HEEGRAUCH
2023-12-27,12,35,HEEGRAUCH
2023-12-27,11,38,HEEGRAUCH
2023-12-27,10,65,HEEGRAUCH
2023-12-27,9,87,HEEGRAUCH
2023-12-27,8,121.38,HEEGRAUCH
2023-12-27,7,137.39,HEEGRAUCH
2023-12-27,6,113.02,HEEGRAUCH
2023-12-27,5,108.44,HEEGRAUCH
2023-12-27,4,87,HEEGRAUCH
2023-12-27,3,83.81,HEEGRAUCH
2023-12-27,2,93.64,HEEGRAUCH
2023-12-27,1,59.05,HEEGRAUCH
2023-12-26,24,111.49,HEEGRAUCH
2023-12-26,23,135.28,HEEGRAUCH
2023-12-26,22,127.9,HEEGRAUCH
2023-12-26,21,119.8,HEEGRAUCH
2023-12-26,20,95.07,HEEGRAUCH
2023-12-26,19,100.22,HEEGRAUCH
2023-12-26,18,99.66,HEEGRAUCH
2023-12-26,17,135.28,HEEGRAUCH
2023-12-26,16,110.51,HEEGRAUCH
2023-12-26,15,107.37,HEEGRAUCH
2023-12-26,14,2,HEEGRAUCH
2023-12-26,13,2.47,HEEGRAUCH
2023-12-26,12,3.21,HEEGRAUCH
2023-12-26,11,6.72,HEEGRAUCH
2023-12-26,10,7.18,HEEGRAUCH
2023-12-26,9,99.78,HEEGRAUCH
2023-12-26,8,107.01,HEEGRAUCH
2023-12-26,7,105.31,HEEGRAUCH
2023-12-26,6,104.19,HEEGRAUCH
2023-12-26,5,100,HEEGRAUCH
2023-12-26,4,100,HEEGRAUCH
2023-12-26,3,103,HEEGRAUCH
2023-12-26,2,105.93,HEEGRAUCH
2023-12-26,1,107.4,HEEGRAUCH
2023-12-25,24,113.71,HEEGRAUCH
2023-12-25,23,135,HEEGRAUCH
2023-12-25,22,137,HEEGRAUCH
2023-12-25,21,115,HEEGRAUCH
2023-12-25,20,99.23,HEEGRAUCH
2023-12-25,19,99.77,HEEGRAUCH
2023-12-25,18,118.54,HEEGRAUCH
2023-12-25,17,130,HEEGRAUCH
2023-12-25,16,110.67,HEEGRAUCH
2023-12-25,15,107.47,HEEGRAUCH
2023-12-25,14,0.04,HEEGRAUCH
2023-12-25,13,28.03,HEEGRAUCH
2023-12-25,12,43.09,HEEGRAUCH
2023-12-25,11,64.36,HEEGRAUCH
2023-12-25,10,99.57,HEEGRAUCH
2023-12-25,9,114.07,HEEGRAUCH
2023-12-25,8,110,HEEGRAUCH
2023-12-25,7,107.15,HEEGRAUCH
2023-12-25,6,104.19,HEEGRAUCH
2023-12-25,5,101.24,HEEGRAUCH
2023-12-25,4,102.66,HEEGRAUCH
2023-12-25,3,103,HEEGRAUCH
2023-12-25,2,104.22,HEEGRAUCH
2023-12-25,1,106.25,HEEGRAUCH
2023-12-24,24,123.22,HEEGRAUCH
2023-12-24,23,139.76,HEEGRAUCH
2023-12-24,22,149.72,HEEGRAUCH
2023-12-24,21,154.12,HEEGRAUCH
2023-12-24,20,129.63,HEEGRAUCH
2023-12-24,19,153.7,HEEGRAUCH
2023-12-24,18,149.72,HEEGRAUCH
2023-12-24,17,140,HEEGRAUCH
2023-12-24,16,115.26,HEEGRAUCH
2023-12-24,15,100.44,HEEGRAUCH
2023-12-24,14,86.96,HEEGRAUCH
2023-12-24,13,43.01,HEEGRAUCH
2023-12-24,12,40.14,HEEGRAUCH
2023-12-24,11,44.29,HEEGRAUCH
2023-12-24,10,95.74,HEEGRAUCH
2023-12-24,9,107.4,HEEGRAUCH
2023-12-24,8,105,HEEGRAUCH
2023-12-24,7,105,HEEGRAUCH
2023-12-24,6,104.19,HEEGRAUCH
2023-12-24,5,99,HEEGRAUCH
2023-12-24,4,95.5,HEEGRAUCH
2023-12-24,3,100,HEEGRAUCH
2023-12-24,2,105,HEEGRAUCH
2023-12-24,1,106.06,HEEGRAUCH
2023-12-23,24,99,HEEGRAUCH
2023-12-23,23,111.14,HEEGRAUCH
2023-12-23,22,106.44,HEEGRAUCH
2023-12-23,21,104.84,HEEGRAUCH
2023-12-23,20,106.44,HEEGRAUCH
2023-12-23,19,106.44,HEEGRAUCH
2023-12-23,18,106.44,HEEGRAUCH
2023-12-23,17,107,HEEGRAUCH
2023-12-23,16,107.44,HEEGRAUCH
2023-12-23,15,92.82,HEEGRAUCH
2023-12-23,14,43,HEEGRAUCH
2023-12-23,13,10.97,HEEGRAUCH
2023-12-23,12,9.86,HEEGRAUCH
2023-12-23,11,15.93,HEEGRAUCH
2023-12-23,10,42.08,HEEGRAUCH
2023-12-23,9,109.78,HEEGRAUCH
2023-12-23,8,107,HEEGRAUCH
2023-12-23,7,104,HEEGRAUCH
2023-12-23,6,90,HEEGRAUCH
2023-12-23,5,90.3,HEEGRAUCH
2023-12-23,4,96,HEEGRAUCH
2023-12-23,3,96.58,HEEGRAUCH
2023-12-23,2,104.19,HEEGRAUCH
2023-12-23,1,102,HEEGRAUCH
2023-12-22,24,96,HEEGRAUCH
2023-12-22,23,109,HEEGRAUCH
2023-12-22,22,114.65,HEEGRAUCH
2023-12-22,21,114.46,HEEGRAUCH
2023-12-22,20,122,HEEGRAUCH
2023-12-22,19,121.84,HEEGRAUCH
2023-12-22,18,122,HEEGRAUCH
2023-12-22,17,122,HEEGRAUCH
2023-12-22,16,115.11,HEEGRAUCH
2023-12-22,15,108.91,HEEGRAUCH
2023-12-22,14,93.4,HEEGRAUCH
2023-12-22,13,88,HEEGRAUCH
2023-12-22,12,88,HEEGRAUCH
2023-12-22,11,100.5,HEEGRAUCH
2023-12-22,10,118.05,HEEGRAUCH
2023-12-22,9,122.01,HEEGRAUCH
2023-12-22,8,120.46,HEEGRAUCH
2023-12-22,7,100.6,HEEGRAUCH
2023-12-22,6,28.63,HEEGRAUCH
2023-12-22,5,42.5,HEEGRAUCH
2023-12-22,4,32,HEEGRAUCH
2023-12-22,3,60,HEEGRAUCH
2023-12-22,2,85,HEEGRAUCH
2023-12-22,1,88.53,HEEGRAUCH
2023-12-21,24,59.2,HEEGRAUCH
2023-12-21,23,87.5,HEEGRAUCH
2023-12-21,22,107.6,HEEGRAUCH
2023-12-21,21,114.5,HEEGRAUCH
2023-12-21,20,122,HEEGRAUCH
2023-12-21,19,126.69,HEEGRAUCH
2023-12-21,18,138.63,HEEGRAUCH
2023-12-21,17,135,HEEGRAUCH
2023-12-21,16,112.72,HEEGRAUCH
2023-12-21,15,106,HEEGRAUCH
2023-12-21,14,100,HEEGRAUCH
2023-12-21,13,95,HEEGRAUCH
2023-12-21,12,91.2,HEEGRAUCH
2023-12-21,11,109.44,HEEGRAUCH
2023-12-21,10,115.29,HEEGRAUCH
2023-12-21,9,124.17,HEEGRAUCH
2023-12-21,8,118.61,HEEGRAUCH
2023-12-21,7,109.44,HEEGRAUCH
2023-12-21,6,88,HEEGRAUCH
2023-12-21,5,78,HEEGRAUCH
2023-12-21,4,74,HEEGRAUCH
2023-12-21,3,78.81,HEEGRAUCH
2023-12-21,2,87.16,HEEGRAUCH
2023-12-21,1,85,HEEGRAUCH
2023-12-20,24,100,HEEGRAUCH
2023-12-20,23,105,HEEGRAUCH
2023-12-20,22,112.3,HEEGRAUCH
2023-12-20,21,120.01,HEEGRAUCH
2023-12-20,20,122.01,HEEGRAUCH
2023-12-20,19,122.2,HEEGRAUCH
2023-12-20,18,131.47,HEEGRAUCH
2023-12-20,17,133.05,HEEGRAUCH
2023-12-20,16,125,HEEGRAUCH
2023-12-20,15,114.94,HEEGRAUCH
2023-12-20,14,98.47,HEEGRAUCH
2023-12-20,13,86.26,HEEGRAUCH
2023-12-20,12,76.21,HEEGRAUCH
2023-12-20,11,88.92,HEEGRAUCH
2023-12-20,10,94.47,HEEGRAUCH
2023-12-20,9,125.79,HEEGRAUCH
2023-12-20,8,160,HEEGRAUCH
2023-12-20,7,120.78,HEEGRAUCH
2023-12-20,6,99.47,HEEGRAUCH
2023-12-20,5,89.35,HEEGRAUCH
2023-12-20,4,65,HEEGRAUCH
2023-12-20,3,89.9,HEEGRAUCH
2023-12-20,2,96.9,HEEGRAUCH
2023-12-20,1,99.54,HEEGRAUCH
2023-12-19,24,101.43,HEEGRAUCH
2023-12-19,23,108.39,HEEGRAUCH
2023-12-19,22,110.5,HEEGRAUCH
2023-12-19,21,122.01,HEEGRAUCH
2023-12-19,20,144.15,HEEGRAUCH
2023-12-19,19,145,HEEGRAUCH
2023-12-19,18,149,HEEGRAUCH
2023-12-19,17,141.2,HEEGRAUCH
2023-12-19,16,122,HEEGRAUCH
2023-12-19,15,106.16,HEEGRAUCH
2023-12-19,14,89.52,HEEGRAUCH
2023-12-19,13,76.5,HEEGRAUCH
2023-12-19,12,79.71,HEEGRAUCH
2023-12-19,11,86.1,HEEGRAUCH
2023-12-19,10,94.97,HEEGRAUCH
2023-12-19,9,122.01,HEEGRAUCH
2023-12-19,8,131.54,HEEGRAUCH
2023-12-19,7,112.34,HEEGRAUCH
2023-12-19,6,92.85,HEEGRAUCH
2023-12-19,5,88,HEEGRAUCH
2023-12-19,4,65,HEEGRAUCH
2023-12-19,3,86.5,HEEGRAUCH
2023-12-19,2,88.88,HEEGRAUCH
2023-12-19,1,91.55,HEEGRAUCH
2023-12-18,24,102.52,HEEGRAUCH
2023-12-18,23,108.33,HEEGRAUCH
2023-12-18,22,101.76,HEEGRAUCH
2023-12-18,21,121.73,HEEGRAUCH
2023-12-18,20,122.01,HEEGRAUCH
2023-12-18,19,133.09,HEEGRAUCH
2023-12-18,18,128.32,HEEGRAUCH
2023-12-18,17,135,HEEGRAUCH
2023-12-18,16,118.98,HEEGRAUCH
2023-12-18,15,104.99,HEEGRAUCH
2023-12-18,14,81.16,HEEGRAUCH
2023-12-18,13,74.89,HEEGRAUCH
2023-12-18,12,81.17,HEEGRAUCH
2023-12-18,11,89.03,HEEGRAUCH
2023-12-18,10,103.87,HEEGRAUCH
2023-12-18,9,114.05,HEEGRAUCH
2023-12-18,8,122,HEEGRAUCH
2023-12-18,7,108.15,HEEGRAUCH
2023-12-18,6,75.85,HEEGRAUCH
2023-12-18,5,56.37,HEEGRAUCH
2023-12-18,4,52.84,HEEGRAUCH
2023-12-18,3,55.37,HEEGRAUCH
2023-12-18,2,57.73,HEEGRAUCH
